address,city,created_at,description,description_en,description_fr,display_description,display_specialties,email,featured,id,latitude,logo_url,longitude,name,opening_hours,phone,postal_code,province,specialties,specialties_en,specialties_fr,type,updated_at,website
Rerum Novarumlaan 54,Merksem,2025-12-27 18:50:16,Belgische chocolatier - Airbrush Design De Kind,Belgian chocolatier - Airbrush Design De Kind,Chocolaterie belge - Airbrush Design De Kind,Belgische chocolatier - Airbrush Design De Kind,,,0,2433,51.252325,,4.453864,Airbrush Design De Kind,,,2170.0,Antwerpen,,,,winkel,2025-12-27 18:50:16,https://twizzi-candystore.be
Avenue Baron de Moreau 1,Namen,2025-12-27 18:50:16,Belgische chocolatier - Anne Furquim d'Almeida,Belgian chocolatier - Anne Furquim d'Almeida,Chocolaterie belge - Anne Furquim d'Almeida,Belgische chocolatier - Anne Furquim d'Almeida,,,0,2434,50.457217,,4.8631477,Anne Furquim d'Almeida,,,5000.0,Namen,,,,winkel,2025-12-27 18:50:16,
Kortemarkstraat 112,Lichtervelde,2025-12-27 18:50:16,Belgische chocolatier - AnniCla,Belgian chocolatier - AnniCla,Chocolaterie belge - AnniCla,Belgische chocolatier - AnniCla,,,0,2435,51.0239354,,3.1135388,AnniCla,,,8810.0,West-Vlaanderen,,,,winkel,2025-12-27 18:50:16,
Irisdreef 23/15,Anderlecht,2025-12-27 18:50:16,Belgische chocolatier - Asmaa Snaibi,Belgian chocolatier - Asmaa Snaibi,Chocolaterie belge - Asmaa Snaibi,Belgische chocolatier - Asmaa Snaibi,,,0,2438,50.8177811,,4.2629262,Asmaa Snaibi,,,1070.0,Brussels Hoofdstedelijk Gewest,,,,winkel,2025-12-27 18:50:16,
Armentieresstraat 144,Le Bizet,2025-12-27 18:50:16,Belgische chocolatier - Au Caprice,Belgian chocolatier - Au Caprice,Chocolaterie belge - Au Caprice,Belgische chocolatier - Au Caprice,,,0,2441,50.7168093,,2.8850906,Au Caprice,,,7782.0,Henegouwen,,,,winkel,2025-12-27 18:50:16,http://www.aucaprice.be
Rue Haute 7-9,Frasnes-lez-Buissenal,2025-12-27 18:50:16,Belgische chocolatier - Au Myosotis,Belgian chocolatier - Au Myosotis,Chocolaterie belge - Au Myosotis,Belgische chocolatier - Au Myosotis,,,0,2443,50.6673593,,3.6203284,Au Myosotis,,,7911.0,Henegouwen,,,,winkel,2025-12-27 18:50:16,
Rue de Marchienne 12/A,Gozée,2025-12-27 18:50:16,Belgische chocolatier - Au Régal Sucré,Belgian chocolatier - Au Régal Sucré,Chocolaterie belge - Au Régal Sucré,Belgische chocolatier - Au Régal Sucré,,,0,2444,50.356277,,4.3637497,Au Régal Sucré,,,6534.0,Henegouwen,,,,winkel,2025-12-27 18:50:16,
Krom Genthof 6/204,Brugge,2025-12-27 18:50:16,Belgische chocolatier - Azalai,Belgian chocolatier - Azalai,Chocolaterie belge - Azalai,Belgische chocolatier - Azalai,,,0,2445,51.2130822,,3.2267132,Azalai,,,8000.0,West-Vlaanderen,,,,winkel,2025-12-27 18:50:16,
Rue du Fer à Cheval 16,Montigny-le-Tilleul,2025-12-27 18:50:16,Belgische chocolatier - BADAN,Belgian chocolatier - BADAN,Chocolaterie belge - BADAN,Belgische chocolatier - BADAN,,,0,2446,50.3639469,,4.3620373,BADAN,,,6110.0,Henegouwen,,,,winkel,2025-12-27 18:50:16,
Grand'Rue 16,Chimay,2025-12-27 18:50:16,Belgische chocolatier - BAMBINO,Belgian chocolatier - BAMBINO,Chocolaterie belge - BAMBINO,Belgische chocolatier - BAMBINO,,,0,2447,50.0487677,,4.3141947,BAMBINO,,,6460.0,Henegouwen,,,,winkel,2025-12-27 18:50:16,
Nieuwstraat 99,Geel,2025-12-27 18:50:16,Belgische chocolatier - BBB ADVIES,Belgian chocolatier - BBB ADVIES,Chocolaterie belge - BBB ADVIES,Belgische chocolatier - BBB ADVIES,,,0,2450,51.1632477,,4.9954822,BBB ADVIES,,,2440.0,Antwerpen,,,,winkel,2025-12-27 18:50:16,http://www.bbbadvies.be
Martelwée 9,Tintange,2025-12-27 18:50:17,Belgische chocolatier - BERNARD CONFISERIE,Belgian chocolatier - BERNARD CONFISERIE,Chocolaterie belge - BERNARD CONFISERIE,Belgische chocolatier - BERNARD CONFISERIE,,,0,2457,49.8600708,,5.7280495,BERNARD CONFISERIE,,,6637.0,Luxemburg,,,,winkel,2025-12-27 18:50:17,
Helenalei 18/10,Antwerpen,2025-12-27 18:50:17,Belgische chocolatier - BIONAOMI,Belgian chocolatier - BIONAOMI,Chocolaterie belge - BIONAOMI,Belgische chocolatier - BIONAOMI,,,0,2458,51.2010322,,4.4215539,BIONAOMI,,,2018.0,Antwerpen,,,,winkel,2025-12-27 18:50:17,
Waardbeekdreef 3,Grimbergen,2025-12-27 18:50:17,Belgische chocolatier - BIREN'S,Belgian chocolatier - BIREN'S,Chocolaterie belge - BIREN'S,Belgische chocolatier - BIREN'S,,,0,2459,50.9393651,,4.3565315,BIREN'S,,,1850.0,Vlaams-Brabant,,,,winkel,2025-12-27 18:50:17,
Maretak 430,Waasmunster,2025-12-27 18:50:17,Belgische chocolatier - BOGEMANS MARC,Belgian chocolatier - BOGEMANS MARC,Chocolaterie belge - BOGEMANS MARC,Belgische chocolatier - BOGEMANS MARC,,,0,2461,51.1335234,,4.0722218,BOGEMANS MARC,,,9250.0,Oost-Vlaanderen,,,,winkel,2025-12-27 18:50:17,
Péri Grindor 12,Beaufays,2025-12-27 18:50:17,Belgische chocolatier - BONIVER INFO. CONSULT.,Belgian chocolatier - BONIVER INFO. CONSULT.,Chocolaterie belge - BONIVER INFO. CONSULT.,Belgische chocolatier - BONIVER INFO. CONSULT.,,,0,2463,50.5568133,,5.6377933,BONIVER INFO. CONSULT.,,,4052.0,Luik,,,,winkel,2025-12-27 18:50:17,http://evenea.be
Stijn Streuvelslaan 19,Sterrebeek,2025-12-27 18:50:17,Belgische chocolatier - BOURDEAUX ALEXANDRE,Belgian chocolatier - BOURDEAUX ALEXANDRE,Chocolaterie belge - BOURDEAUX ALEXANDRE,Belgische chocolatier - BOURDEAUX ALEXANDRE,,,0,2466,50.8648082,,4.4980055,BOURDEAUX ALEXANDRE,,,1933.0,Vlaams-Brabant,,,,winkel,2025-12-27 18:50:17,
Rue Ariste Caussin 68,Anseremme,2025-12-27 18:50:17,Belgische chocolatier - BOUVIER ETIENNE,Belgian chocolatier - BOUVIER ETIENNE,Chocolaterie belge - BOUVIER ETIENNE,Belgische chocolatier - BOUVIER ETIENNE,,,0,2468,50.2386622,,4.914304,BOUVIER ETIENNE,,,5500.0,Namen,,,,winkel,2025-12-27 18:50:17,
Rue de Namur 152,Gosselies,2025-12-27 18:50:16,Belgische chocolatier - Barabouf,Belgian chocolatier - Barabouf,Chocolaterie belge - Barabouf,Belgische chocolatier - Barabouf,,,0,2448,50.4699798,,4.435568,Barabouf,,,6041.0,Henegouwen,,,,winkel,2025-12-27 18:50:16,
Nukkerstraat 33,Bredene,2025-12-27 18:50:16,Belgische chocolatier - Bart's Candy,Belgian chocolatier - Bart's Candy,Chocolaterie belge - Bart's Candy,Belgische chocolatier - Bart's Candy,,,0,2449,51.2223573,,2.9578438,Bart's Candy,,,8450.0,West-Vlaanderen,,,,winkel,2025-12-27 18:50:16,
Rue de Flandre 13,Brussel,2025-12-27 18:50:16,Moderne chocolatier met winkels in verschillende steden. Speelse en kleurrijke creaties.,Artisan chocolate shop offering quality Belgian chocolates.,Chocolaterie artisanale offrant des chocolats belges de qualité.,Moderne chocolatier met winkels in verschillende steden. Speelse en kleurrijke creaties.,Kleurrijke pralines,info@bbyb.be,0,2451,50.8509698,,4.3470143,BbyB,,+32 2 512 24 91,1000.0,Brussels Hoofdstedelijk Gewest,Kleurrijke pralines,Chocolat artisanal,moderne designs,beide,2025-12-27 18:50:16,https://www.bbyb.be
Rue De Neck 20,Koekelberg,2025-12-27 18:50:16,Belgische chocolatier,Belgian chocolatier,Chocolaterie belge,Belgische chocolatier,,,0,2452,50.8647766,,4.3299151,Belgian Chocolate Village,,+32 2 420 70 76,1081.0,Brussels Hoofdstedelijk Gewest,,,,winkel,2025-12-27 18:50:16,http://www.belgianchocolatevillage.be/
Rue des Foulons 30,Bruxelles,2025-12-27 18:50:16,Belgische chocolatier,Belgian chocolatier,Chocolaterie belge,Belgische chocolatier,,,0,2453,50.8428703,,4.3417839,Belgian Chocolate Workshop in Brussels,,+32 2 881 01 78,1000.0,Brussels Hoofdstedelijk Gewest,,,,winkel,2025-12-27 18:50:16,http://www.belgianchocolateworkshop.com/
Avenue Zénobe Gramme 16,Saintes,2025-12-27 18:50:16,Belgische chocolatier - Belgian Sweets Design,Belgian chocolatier - Belgian Sweets Design,Chocolaterie belge - Belgian Sweets Design,Belgische chocolatier - Belgian Sweets Design,,,0,2454,50.7082533,,4.1772764,Belgian Sweets Design,,,1480.0,Waals-Brabant,,,,winkel,2025-12-27 18:50:16,https://www.bsd.be
Grand'Route 83,Mont-Saint-Guibert,2025-12-27 18:50:16,Belgische chocolatier,Belgian chocolatier,Chocolaterie belge,Belgische chocolatier,,,0,2455,50.6411347,,4.6477562,Belgium Chocolatiers,,+32 10 68 86 20,1435.0,Brussels Hoofdstedelijk Gewest,,,,winkel,2025-12-27 18:50:16,https://belgiumchocolatiers.com/
Hoogkouter 35,Tiegem,2025-12-27 18:50:17,Belgische chocolatier - Belion,Belgian chocolatier - Belion,Chocolaterie belge - Belion,Belgische chocolatier - Belion,,,0,2456,50.8065887,,3.4714883,Belion,,,8573.0,West-Vlaanderen,,,,winkel,2025-12-27 18:50:17,
Hogeweg 101,Erembodegem,2025-12-27 18:50:17,Belgische chocolatier - Bo é Belle,Belgian chocolatier - Bo é Belle,Chocolaterie belge - Bo é Belle,Belgische chocolatier - Bo é Belle,,,0,2460,50.921086,,4.0666715,Bo é Belle,,,9320.0,Oost-Vlaanderen,,,,winkel,2025-12-27 18:50:17,https://shop.boebelle.be
Vestingstraat 34,Komen,2025-12-27 18:50:17,Belgische chocolatier - Bonbek,Belgian chocolatier - Bonbek,Chocolaterie belge - Bonbek,Belgische chocolatier - Bonbek,,,0,2462,50.7665456,,3.0033962,Bonbek,,,7780.0,Henegouwen,,,,winkel,2025-12-27 18:50:17,
Hernerweg 17,Sint-Huibrechts-Hern,2025-12-27 18:50:17,Belgische chocolatier - Boontjes the max,Belgian chocolatier - Boontjes the max,Chocolaterie belge - Boontjes the max,Belgische chocolatier - Boontjes the max,,,0,2464,50.8201565,,5.4645972,Boontjes the max,,,3730.0,Limburg,,,,winkel,2025-12-27 18:50:17,https://www.boontjesthemax.be
Rue Saint-Léger 42,Lustin,2025-12-27 18:50:17,Belgische chocolatier - Boulangerie Patisserie De La Place,Belgian chocolatier - Boulangerie Patisserie De La Place,Chocolaterie belge - Boulangerie Patisserie De La Place,Belgische chocolatier - Boulangerie Patisserie De La Place,,,0,2465,50.378736,,4.8987942,Boulangerie Patisserie De La Place,,,5170.0,Namen,,,,winkel,2025-12-27 18:50:17,
Grand'Place 32,Louvain-la-Neuve,2025-12-27 18:50:17,Belgische chocolatier - Boutique Galler Louvain-La-Neuve,Belgian chocolatier - Boutique Galler Louvain-La-Neuve,Chocolaterie belge - Boutique Galler Louvain-La-Neuve,Belgische chocolatier - Boutique Galler Louvain-La-Neuve,,,0,2467,50.6697044,,4.6116513,Boutique Galler Louvain-La-Neuve,,,1348.0,Waals-Brabant,,,,winkel,2025-12-27 18:50:17,https://www.galler.com
Capronstraat 28,Ieper,2025-12-27 18:50:17,Belgische chocolatier - CALINOR,Belgian chocolatier - CALINOR,Chocolaterie belge - CALINOR,Belgische chocolatier - CALINOR,,,0,2471,50.8509369,,2.874693,CALINOR,,,8900.0,West-Vlaanderen,,,,winkel,2025-12-27 18:50:17,http://www.calinor.be
Rue de l'Aîte 14,Hollogne-aux-Pierres,2025-12-27 18:50:17,Belgische chocolatier - CANDY GLITTER,Belgian chocolatier - CANDY GLITTER,Chocolaterie belge - CANDY GLITTER,Belgische chocolatier - CANDY GLITTER,,,0,2473,50.6296472,,5.4592937,CANDY GLITTER,,,4460.0,Luik,,,,winkel,2025-12-27 18:50:17,
Rue César De Paepe 113,Jumet,2025-12-27 18:50:17,Belgische chocolatier - CANDY SHOP'ONE,Belgian chocolatier - CANDY SHOP'ONE,Chocolaterie belge - CANDY SHOP'ONE,Belgische chocolatier - CANDY SHOP'ONE,,,0,2474,50.43549,,4.4137969,CANDY SHOP'ONE,,,6040.0,Henegouwen,,,,winkel,2025-12-27 18:50:17,
Nerviërslaan 9-31,Etterbeek,2025-12-27 18:50:17,Belgische chocolatier - CAOBISCO,Belgian chocolatier - CAOBISCO,Chocolaterie belge - CAOBISCO,Belgische chocolatier - CAOBISCO,,,0,2475,50.8380235,,4.3935513,CAOBISCO,,,1040.0,Brussels Hoofdstedelijk Gewest,,,,winkel,2025-12-27 18:50:17,https://caobisco.eu
de Merodedreef 93 A,Westerlo,2025-12-27 18:50:17,Belgische chocolatier - CARAMELLA,Belgian chocolatier - CARAMELLA,Chocolaterie belge - CARAMELLA,Belgische chocolatier - CARAMELLA,,,0,2476,51.0825762,,4.9129045,CARAMELLA,,,2260.0,Antwerpen,,,,winkel,2025-12-27 18:50:17,https://leonidas.com
Rue des Combattants 36,Terhulpen,2025-12-27 18:50:17,Belgische chocolatier - CARIS LA HULPE,Belgian chocolatier - CARIS LA HULPE,Chocolaterie belge - CARIS LA HULPE,Belgische chocolatier - CARIS LA HULPE,,,0,2477,50.7317482,,4.4895278,CARIS LA HULPE,,,1310.0,Waals-Brabant,,,,winkel,2025-12-27 18:50:17,
Energieweg 3,Oostmalle,2025-12-27 18:50:17,Belgische chocolatier - CARMINA - Confiserie Pierot,Belgian chocolatier - CARMINA - Confiserie Pierot,Chocolaterie belge - CARMINA - Confiserie Pierot,Belgische chocolatier - CARMINA - Confiserie Pierot,,,0,2478,51.293804,,4.7138243,CARMINA - Confiserie Pierot,,,2390.0,Antwerpen,,,,winkel,2025-12-27 18:50:17,http://www.likeurpralines.be
Boterstraat 17,Brussel,2025-12-27 18:50:17,Belgische chocolatier - CDM BELGIQUE,Belgian chocolatier - CDM BELGIQUE,Chocolaterie belge - CDM BELGIQUE,Belgische chocolatier - CDM BELGIQUE,,,0,2480,50.847552,,4.351221,CDM BELGIQUE,,,1000.0,Brussels Hoofdstedelijk Gewest,,,,winkel,2025-12-27 18:50:17,
Meiersplein 4/20,Sint-Pieters-Woluwe,2025-12-27 18:50:18,Belgische chocolatier - CHEZ CHOUPS,Belgian chocolatier - CHEZ CHOUPS,Chocolaterie belge - CHEZ CHOUPS,Belgische chocolatier - CHEZ CHOUPS,,,0,2485,50.8374085,,4.4316298,CHEZ CHOUPS,,,1150.0,Brussels Hoofdstedelijk Gewest,,,,winkel,2025-12-27 18:50:18,
Village 53,Henri-Chapelle,2025-12-27 18:50:18,Belgische chocolatier - CHEZ NONO,Belgian chocolatier - CHEZ NONO,Chocolaterie belge - CHEZ NONO,Belgische chocolatier - CHEZ NONO,,,0,2487,50.6767168,,5.9307735,CHEZ NONO,,,4841.0,Luik,,,,winkel,2025-12-27 18:50:18,
Wijngaardstraat 25,Brugge,2025-12-27 18:50:18,Belgische chocolatier - CHOCOLATE FACTORY,Belgian chocolatier - CHOCOLATE FACTORY,Chocolaterie belge - CHOCOLATE FACTORY,Belgische chocolatier - CHOCOLATE FACTORY,,,0,2494,51.2017694,,3.2250281,CHOCOLATE FACTORY,,,8000.0,West-Vlaanderen,,,,winkel,2025-12-27 18:50:18,
Belfortstraat 30,Gent,2025-12-27 18:50:18,Belgische chocolatier,Artisan chocolate shop offering quality Belgian chocolates.,Chocolaterie artisanale offrant des chocolats belges de qualité.,Belgische chocolatier,Ambachtelijke chocolade,,0,2495,51.0557606,,3.7276749,CHOCOLATERIE BELFORT,,,9000.0,Oost-Vlaanderen,Ambachtelijke chocolade,Artisan chocolate,Chocolat artisanal,winkel,2025-12-27 18:50:18,http://www.chocolaterie-belfort.be
Burgemeester Jos. Chalmetlaan 67,Zelzate,2025-12-27 18:50:18,Belgische chocolatier - CHOCOLATERIE DE GRAEVE,Belgian chocolatier - CHOCOLATERIE DE GRAEVE,Chocolaterie belge - CHOCOLATERIE DE GRAEVE,Belgische chocolatier - CHOCOLATERIE DE GRAEVE,,,0,2497,51.1980327,,3.8041149,CHOCOLATERIE DE GRAEVE,,,9060.0,Oost-Vlaanderen,,,,winkel,2025-12-27 18:50:18,https://chocolateriedegraeve.eatbu.com
Boezingestraat 133,Langemark,2025-12-27 18:50:18,Belgische chocolatier - CHOCOLATERIE LEDOUX,Belgian chocolatier - CHOCOLATERIE LEDOUX,Chocolaterie belge - CHOCOLATERIE LEDOUX,Belgische chocolatier - CHOCOLATERIE LEDOUX,,,0,2502,50.9020972,,2.8945161,CHOCOLATERIE LEDOUX,,,8920.0,West-Vlaanderen,,,,winkel,2025-12-27 18:50:18,https://www.choc-ledoux.be
Dorpsstraat 36,Stabroek,2025-12-27 18:50:18,Belgische chocolatier - CHOCOLATES AND MORE,Belgian chocolatier - CHOCOLATES AND MORE,Chocolaterie belge - CHOCOLATES AND MORE,Belgische chocolatier - CHOCOLATES AND MORE,,,0,2508,51.3317042,,4.3648807,CHOCOLATES AND MORE,,,2940.0,Antwerpen,,,,winkel,2025-12-27 18:50:18,
Grand'Rue 31,Gembloers,2025-12-27 18:50:19,Belgische chocolatier - CHOCOLATEZ-VOUS,Belgian chocolatier - CHOCOLATEZ-VOUS,Chocolaterie belge - CHOCOLATEZ-VOUS,Belgische chocolatier - CHOCOLATEZ-VOUS,,,0,2509,50.5607064,,4.6942055,CHOCOLATEZ-VOUS,,,5030.0,Namen,,,,winkel,2025-12-27 18:50:19,
Diestersesteenweg 61,Paal,2025-12-27 18:50:19,Belgische chocolatier - CHOCOSJIEK,Belgian chocolatier - CHOCOSJIEK,Chocolaterie belge - CHOCOSJIEK,Belgische chocolatier - CHOCOSJIEK,,,0,2515,51.0365952,,5.1673495,CHOCOSJIEK,,,3583.0,Limburg,,,,winkel,2025-12-27 18:50:19,https://valentinobelgium.com
Rue Saint-Léonard 309,Luik,2025-12-27 18:50:19,Belgische chocolatier - CHOUETTE CHIQUE,Belgian chocolatier - CHOUETTE CHIQUE,Chocolaterie belge - CHOUETTE CHIQUE,Belgische chocolatier - CHOUETTE CHIQUE,,,0,2517,50.6515373,,5.5981132,CHOUETTE CHIQUE,,,4000.0,Luik,,,,winkel,2025-12-27 18:50:19,https://www.chouettechique.be
Jozef De Troetselstraat 36,Schoonaarde,2025-12-27 18:50:19,Belgische chocolatier - CLAUS CARINE,Belgian chocolatier - CLAUS CARINE,Chocolaterie belge - CLAUS CARINE,Belgische chocolatier - CLAUS CARINE,,,0,2518,50.9971646,,4.0135712,CLAUS CARINE,,,9200.0,Oost-Vlaanderen,,,,winkel,2025-12-27 18:50:19,
Gistelsteenweg 169,Varsenare,2025-12-27 18:50:19,Belgische chocolatier - CONFISERIE BLOMME,Belgian chocolatier - CONFISERIE BLOMME,Chocolaterie belge - CONFISERIE BLOMME,Belgische chocolatier - CONFISERIE BLOMME,,,0,2519,51.1825189,,3.1411608,CONFISERIE BLOMME,,,8490.0,West-Vlaanderen,,,,winkel,2025-12-27 18:50:19,https://www.confiserieblomme.be
IJzerenleen 3,Mechelen,2025-12-27 18:50:19,Belgische chocolatier - CONFISERIE EN CHOCOLATERIE GAUTHIER,Belgian chocolatier - CONFISERIE EN CHOCOLATERIE GAUTHIER,Chocolaterie belge - CONFISERIE EN CHOCOLATERIE GAUTHIER,Belgische chocolatier - CONFISERIE EN CHOCOLATERIE GAUTHIER,,,0,2525,51.0273015,,4.4794146,CONFISERIE EN CHOCOLATERIE GAUTHIER,,,2800.0,Antwerpen,,,,winkel,2025-12-27 18:50:19,
Rijselstraat 267,Menen,2025-12-27 18:50:19,Belgische chocolatier - CONFISERIE GINO,Belgian chocolatier - CONFISERIE GINO,Chocolaterie belge - CONFISERIE GINO,Belgische chocolatier - CONFISERIE GINO,,,0,2526,50.786894,,3.1265505,CONFISERIE GINO,,,8930.0,West-Vlaanderen,,,,winkel,2025-12-27 18:50:19,https://www.leonidas-menen.be
Rootbeekstraat 17,Wevelgem,2025-12-27 18:50:19,Belgische chocolatier - CONFISERIE GINO,Belgian chocolatier - CONFISERIE GINO,Chocolaterie belge - CONFISERIE GINO,Belgische chocolatier - CONFISERIE GINO,,,0,2527,50.8172445,,3.181052,CONFISERIE GINO,,,8560.0,West-Vlaanderen,,,,winkel,2025-12-27 18:50:19,
Pannenbakkersstraat 2 A,Moen,2025-12-27 18:50:19,Belgische chocolatier - CONFISERIE RIAL,Belgian chocolatier - CONFISERIE RIAL,Chocolaterie belge - CONFISERIE RIAL,Belgische chocolatier - CONFISERIE RIAL,,,0,2530,50.797119,,3.3657088,CONFISERIE RIAL,,,8552.0,West-Vlaanderen,,,,winkel,2025-12-27 18:50:19,
Ninovesteenweg 225,Erembodegem,2025-12-27 18:50:19,Belgische chocolatier - CONFISERIE SABINE,Belgian chocolatier - CONFISERIE SABINE,Chocolaterie belge - CONFISERIE SABINE,Belgische chocolatier - CONFISERIE SABINE,,,0,2531,50.9106814,,4.0509249,CONFISERIE SABINE,,,9320.0,Oost-Vlaanderen,,,,winkel,2025-12-27 18:50:19,https://www.leonidas.com
Stapelstraat 7,Sint-Truiden,2025-12-27 18:50:19,Belgische chocolatier - CONFISERIE SCHREURS,Belgian chocolatier - CONFISERIE SCHREURS,Chocolaterie belge - CONFISERIE SCHREURS,Belgische chocolatier - CONFISERIE SCHREURS,,,0,2532,50.8150677,,5.1840123,CONFISERIE SCHREURS,,,3800.0,Limburg,,,,winkel,2025-12-27 18:50:19,
Industrielaan 26,Hoeselt,2025-12-27 18:50:19,Belgische chocolatier - CONFISERIE VANGERTRUYDEN ONDERNEMINGEN,Belgian chocolatier - CONFISERIE VANGERTRUYDEN ONDERNEMINGEN,Chocolaterie belge - CONFISERIE VANGERTRUYDEN ONDERNEMINGEN,Belgische chocolatier - CONFISERIE VANGERTRUYDEN ONDERNEMINGEN,,,0,2534,50.8598396,,5.4946683,CONFISERIE VANGERTRUYDEN ONDERNEMINGEN,,,3730.0,Limburg,,,,winkel,2025-12-27 18:50:19,
Geneikenstraat 32,Lummen,2025-12-27 18:50:19,Belgische chocolatier - CONFISERIE WALLIE,Belgian chocolatier - CONFISERIE WALLIE,Chocolaterie belge - CONFISERIE WALLIE,Belgische chocolatier - CONFISERIE WALLIE,,,0,2535,51.0134015,,5.2077706,CONFISERIE WALLIE,,,3560.0,Limburg,,,,winkel,2025-12-27 18:50:19,
Industrieweg 15,Boom,2025-12-27 18:50:20,Belgische chocolatier - CONFISERIE-CHOCOLATERIE ROMA,Belgian chocolatier - CONFISERIE-CHOCOLATERIE ROMA,Chocolaterie belge - CONFISERIE-CHOCOLATERIE ROMA,Belgische chocolatier - CONFISERIE-CHOCOLATERIE ROMA,,,0,2536,51.0999507,,4.3528213,CONFISERIE-CHOCOLATERIE ROMA,,,2850.0,Antwerpen,,,,winkel,2025-12-27 18:50:20,
Woluwedal 70/79,Sint-Lambrechts-Woluwe,2025-12-27 18:50:20,Belgische chocolatier - CONFIZZ Woluwe Shopping Center,Belgian chocolatier - CONFIZZ Woluwe Shopping Center,Chocolaterie belge - CONFIZZ Woluwe Shopping Center,Belgische chocolatier - CONFIZZ Woluwe Shopping Center,,,0,2537,50.8532915,,4.4439608,CONFIZZ Woluwe Shopping Center,,,1200.0,Brussels Hoofdstedelijk Gewest,,,,winkel,2025-12-27 18:50:20,https://ohhh.be
